  LD GT CB CE PL GH
0 3350 5901 16562 21057 42 586 
1 3282 5876 16408 21167 39 587 
2 3297 5873 16700 21025 43 537 
3 3260 5938 16589 21077 41 581 
4 3274 6038 16476 21034 50 566 
5 3342 5896 16595 21021 43 544 
6 3301 5863 16664 21030 39 546 
7 3228 5963 16620 21157 39 515 
8 3304 5890 16759 20917 32 532 
9 3326 5954 16611 20916 42 579 
10 3332 6016 16516 21068 34 575 
11 3311 5924 16523 21080 32 564 
12 3272 5943 16621 21039 39 565 
13 3329 5959 16611 20946 44 568 
14 3344 5880 16479 21008 45 605 
15 3318 5900 16610 21077 33 546 
16 3335 5879 16566 21087 35 579 
17 3296 5967 16619 20983 44 561 
18 3255 5897 16653 21093 38 560 
19 3236 5898 16696 20970 46 581 
20 3188 5784 16548 21329 44 586 
21 3309 5924 16693 20967 40 559 
22 3290 5854 16638 21125 41 544 
23 3366 5890 16704 20935 47 552 
24 3380 5890 16569 21082 45 534 
25 3206 5967 16534 21130 45 549 
26 3294 5854 16736 21007 42 542 
27 3232 5976 16557 21100 38 569 
28 3300 6056 16589 20964 36 596 
29 3317 5985 16682 20991 40 531 
30 3295 5883 16599 21091 39 547 
31 3286 6013 16601 20886 43 565 
32 3303 5901 16592 21117 44 543 
33 3372 5808 16623 21077 41 540 
34 3221 5894 16656 21143 39 538 
35 3298 5910 16515 21077 32 613 
36 3289 5837 16673 21130 38 543 
37 3358 6038 16406 21049 33 569 
38 3334 5969 16521 20970 41 583 
39 3287 6035 16644 20893 42 590 
40 3278 5991 16599 20950 37 544 
41 3298 5971 16631 20949 35 550 
42 3369 5884 16572 21074 44 577 
43 3281 5942 16693 20948 46 569 
44 3320 5894 16562 21132 46 558 
45 3227 6051 16642 20948 33 561 
46 3350 5863 16735 21041 33 554 
47 3285 6040 16650 20879 46 581 
48 3308 5962 16445 21097 44 551 
49 3377 5987 16575 20957 47 540 
50 3321 6015 16591 20937 42 552 
51 3341 5978 16586 20976 47 564 
52 3342 5893 16539 21204 43 537 
53 3301 5847 16614 21134 40 568 
54 3340 5858 16682 21046 44 557 
55 3306 5965 16682 20889 45 530 
56 3257 5969 16557 21161 41 523 
57 3307 5903 16528 21111 49 531 
58 3378 5950 16619 20888 43 598 
59 3314 5952 16651 20945 43 535 
60 3262 5953 16620 21041 41 544 
61 3293 5921 16761 20942 43 570 
62 3302 5960 16531 21051 30 554 
63 3201 5949 16729 20973 31 574 
64 3359 5909 16694 20893 43 556 
65 3362 5904 16685 20960 37 539 
66 3319 5841 16617 20946 50 582 
67 3264 5830 16673 21093 50 574 
