  LD GT CB CE LO PL GH
0 3116 3274 22390 20030 1 1 602 
1 3141 3279 22295 20080 0 0 627 
2 3117 3284 22432 19989 1 0 604 
3 3095 3229 22279 20195 0 1 605 
4 3115 3221 22339 20146 1 1 608 
5 3140 3210 22274 20201 1 1 606 
6 3098 3277 22425 20067 1 0 567 
7 3064 3187 22402 20159 2 1 588 
8 3105 3197 22328 20156 2 1 609 
9 3091 3221 22342 20158 2 1 594 
10 3112 3256 22440 20019 1 1 617 
11 3122 3267 22349 20101 2 1 593 
12 3091 3217 22482 20037 1 1 608 
13 3089 3304 22426 20056 1 1 584 
14 3151 3189 22368 20091 2 0 613 
15 3128 3226 22441 20041 2 1 586 
16 3091 3206 22401 20137 0 0 598 
17 3095 3272 22424 20067 2 1 582 
18 3176 3281 22269 20144 1 0 568 
19 3099 3239 22292 20183 2 1 608 
20 3125 3215 22338 20175 1 0 590 
21 3061 3282 22291 20164 0 1 604 
22 3079 3270 22402 20067 1 1 596 
23 3074 3227 22349 20166 0 1 617 
24 3146 3233 22350 20105 2 1 599 
25 3058 3261 22343 20140 2 0 634 
26 3096 3254 22146 20263 2 1 630 
27 3068 3279 22297 20188 2 1 608 
28 3140 3279 22271 20123 2 1 605 
29 3078 3250 22353 20142 0 1 626 
30 3101 3210 22259 20236 1 0 620 
31 3058 3314 22229 20219 2 0 593 
32 3127 3282 22342 20082 0 0 612 
33 3107 3248 22322 20134 2 0 619 
34 3087 3233 22516 19967 2 1 611 
35 3116 3280 22304 20120 1 0 608 
36 3087 3315 22317 20087 2 1 604 
37 3113 3162 22370 20148 1 0 608 
38 3141 3206 22193 20265 1 0 612 
39 3121 3238 22485 20012 2 1 586 
40 3125 3222 22479 19977 0 1 634 
41 3132 3251 22274 20172 1 1 598 
42 3161 3191 22307 20190 1 0 575 
43 3102 3268 22327 20107 0 0 620 
44 3081 3260 22384 20119 2 0 583 
45 3056 3275 22543 19919 0 1 594 
46 3061 3261 22363 20129 1 1 624 
47 3091 3256 22457 20061 2 0 578 
48 3043 3250 22359 20132 2 0 621 
49 3101 3238 22456 20060 2 0 589 
50 3069 3271 22340 20162 0 0 593 
51 3147 3219 22391 20084 2 0 581 
52 3115 3209 22463 20022 1 1 606 
53 3084 3188 22440 20131 1 0 596 
54 3078 3275 22375 20114 1 0 574 
55 3123 3299 22324 20089 1 1 584 
56 3119 3224 22265 20203 2 0 611 
57 3140 3217 22286 20191 2 1 598 
58 3116 3239 22358 20100 0 1 612 
59 3142 3232 22285 20153 0 0 593 
60 3044 3263 22266 20251 1 1 622 
61 3118 3308 22224 20153 1 1 613 
62 3069 3242 22454 20060 1 0 617 
63 3161 3257 22117 20262 1 1 625 
64 3141 3226 22421 20042 1 0 590 
65 3168 3282 22310 20039 1 1 602 
66 3065 3190 22385 20202 1 0 611 
67 3125 3225 22471 20056 2 0 559 
68 3085 3245 22302 20185 2 1 597 
69 3087 3286 22301 20113 2 0 604 
70 3170 3168 22344 20141 0 1 594 
71 3083 3200 22345 20229 0 1 598 
72 3130 3243 22322 20145 0 0 588 
73 3177 3275 22287 20080 0 1 602 
74 3052 3317 22282 20157 1 1 618 
75 3092 3237 22318 20142 2 1 613 
76 3134 3271 22299 20124 0 1 604 
77 3130 3269 22390 20055 1 0 593 
78 3087 3258 22318 20151 1 0 583 
79 3129 3287 22339 20097 1 1 596 
80 3123 3273 22325 20103 2 0 605 
81 3098 3233 22333 20204 1 1 564 
82 3167 3160 22302 20194 2 1 619 
83 3084 3289 22313 20144 1 1 606 
84 3100 3226 22267 20213 0 1 609 
85 3116 3225 22286 20219 2 1 584 
86 3119 3277 22341 20116 2 1 589 
87 3059 3261 22418 20102 0 1 577 
88 3109 3249 22377 20052 2 0 610 
89 3087 3256 22346 20140 0 1 605 
90 3117 3286 22390 20067 2 1 588 
91 3094 3258 22316 20181 1 0 594 
92 3137 3246 22234 20206 2 0 599 
93 3092 3355 22278 20113 0 1 606 
94 3128 3222 22383 20089 1 1 579 
95 3081 3236 22407 20092 1 1 584 
96 3133 3223 22347 20123 1 0 592 
97 3166 3250 22349 20018 1 1 606 
98 3184 3231 22231 20179 1 1 615 
99 3124 3213 22359 20128 1 1 614 
100 3145 3242 22403 20064 2 0 610 
101 3119 3306 22304 20112 2 0 572 
102 3067 3218 22360 20138 2 0 631 
103 3045 3235 22443 20101 1 0 610 
104 3099 3265 22444 20019 2 1 589 
105 3061 3262 22267 20207 2 1 634 
106 3132 3208 22335 20197 1 0 591 
107 3108 3243 22462 20029 2 1 600 
108 3107 3199 22451 20060 2 1 615 
109 3137 3280 22214 20182 1 0 612 
110 3061 3277 22392 20130 1 1 560 
111 3153 3289 22257 20134 1 0 579 
112 3065 3220 22450 20083 2 1 610 
113 3157 3263 22391 20060 1 1 570 
114 3142 3237 22251 20186 1 1 609 
115 3077 3222 22294 20235 1 1 596 
116 3103 3250 22358 20111 1 1 593 
117 3069 3219 22452 20112 1 1 587 
118 3144 3252 22350 20064 1 1 626 
119 3077 3287 22350 20113 1 0 593 
120 3109 3260 22347 20132 0 0 581 
121 3145 3179 22319 20202 0 0 599 
122 3077 3163 22353 20240 0 0 597 
123 3163 3277 22266 20146 0 0 572 
124 3178 3236 22232 20165 1 1 599 
125 3176 3241 22273 20128 1 1 581 
126 3172 3193 22366 20147 2 0 574 
127 3122 3278 22294 20127 0 1 609 
128 3061 3214 22427 20085 1 0 595 
129 3151 3160 22343 20163 1 1 601 
130 3165 3156 22362 20145 2 0 589 
131 3087 3271 22248 20189 1 1 603 
132 3125 3253 22198 20210 1 1 627 
133 3102 3210 22345 20151 2 1 617 
134 3072 3189 22478 20117 1 0 604 
135 3055 3242 22396 20131 1 1 597 
136 3116 3267 22386 20078 2 0 596 
137 3101 3335 22394 20003 2 1 602 
138 3068 3196 22464 20078 1 0 627 
139 3103 3237 22456 20040 1 1 592 
140 3154 3243 22443 20004 1 1 586 
141 3130 3179 22335 20210 2 0 596 
142 3024 3206 22360 20197 1 0 629 
143 3106 3200 22318 20198 1 1 595 
144 3093 3268 22335 20137 2 1 608 
145 3080 3210 22353 20169 0 0 596 
146 3046 3231 22294 20271 1 0 585 
147 3138 3307 22260 20105 1 0 607 
148 3145 3272 22300 20094 2 0 615 
149 3094 3207 22381 20154 1 1 591 
150 3129 3223 22416 20075 1 1 579 
151 3075 3218 22303 20239 1 0 593 
152 3107 3181 22414 20132 1 1 597 
153 3092 3192 22436 20120 2 0 589 
154 3093 3252 22411 20067 2 0 595 
155 3047 3200 22405 20159 1 1 612 
156 3169 3252 22410 19980 2 1 598 
157 3056 3176 22397 20214 0 0 573 
158 3097 3220 22411 20077 0 1 599 
159 3081 3258 22399 20116 1 1 585 
160 3058 3264 22366 20103 2 1 626 
161 3066 3306 22362 20087 0 1 611 
162 3085 3216 22387 20160 2 1 581 
163 3094 3282 22338 20100 0 1 601 
164 3093 3254 22384 20098 0 1 604 
165 3075 3269 22303 20201 2 1 587 
166 3112 3246 22415 20084 1 0 556 
167 3093 3233 22437 20110 2 0 579 
168 3106 3246 22362 20113 1 1 590 
169 3150 3222 22380 20080 2 1 592 
170 3119 3263 22195 20277 1 0 570 
171 3130 3230 22342 20108 2 0 620 
172 3053 3238 22295 20243 0 0 581 
