  Verrucomicrobia Chlamydiae Aquificae Actinobacteria Chlorobi Lobosea Euglenozoa Cyanobacteria ssDNA candidate Viridiplantae Mycetozoa Dictyoglomi Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental Fusobacteria Entamoebidae Crenarchaeota Alveolata Korarchaeota Jakobidae Bacteroidetes Rhizaria Parabasalidea Metazoa Thermotogae Fibrobacteres Euryarchaeota
0 5223 5483 118 59 4872 44 477 1820 438 2956 392 4 1 1 1095 10 3525 1687 18 0 8 0 514 64 1 1037 0 16075 1 106 17 313 1534 997 96 69 608 0 
1 5229 5589 105 51 4950 32 515 1765 426 3048 378 2 2 4 1065 5 3517 1573 18 1 10 2 520 75 2 1053 1 15935 0 135 19 280 1519 1075 102 61 604 0 
2 5270 5591 110 71 4933 39 546 1803 419 3020 391 4 4 4 1089 6 3444 1630 11 0 9 1 507 69 0 1096 1 15861 0 117 19 297 1504 1039 99 67 592 0 
3 5169 5571 100 51 4826 25 504 1819 383 3042 365 4 4 4 1089 6 3382 1606 18 0 12 1 522 67 1 1115 1 16157 0 126 20 305 1484 1106 105 64 624 0 
4 5213 5582 108 53 4889 30 560 1824 418 2970 378 6 3 4 1058 10 3499 1564 17 0 9 1 516 72 2 1049 0 16136 0 113 11 275 1516 1042 84 65 603 0 
5 5189 5678 102 54 4861 35 498 1810 399 2961 354 3 2 4 1128 4 3489 1628 11 0 9 0 529 71 0 1055 1 15994 1 110 18 323 1517 1056 91 64 613 1 
6 5254 5637 110 51 4896 34 523 1792 421 3034 376 8 1 5 1104 6 3446 1646 18 1 11 1 499 62 2 1013 0 15960 0 122 18 276 1529 1058 82 63 607 1 
7 5295 5506 113 64 5040 37 503 1872 404 3016 391 2 2 7 1077 5 3416 1579 22 0 13 1 513 54 1 1099 1 15903 1 138 16 271 1548 1024 97 70 587 0 
8 5180 5601 99 63 4818 34 514 1836 395 3110 368 3 2 4 1156 6 3382 1660 22 0 13 2 496 75 0 1027 1 16014 1 123 15 262 1530 1125 92 58 607 0 
9 5152 5608 93 62 4870 39 535 1794 401 3140 374 6 5 5 1119 8 3474 1665 17 1 17 5 534 66 0 1035 0 15871 0 131 18 288 1515 1095 90 61 585 1 
10 5260 5490 107 62 4911 36 506 1810 426 3031 369 4 3 4 1107 3 3458 1655 14 1 15 1 512 63 1 993 0 16105 0 109 17 275 1548 1083 79 45 577 0 
11 5268 5567 116 45 4891 31 549 1832 420 3068 385 6 2 3 1084 2 3474 1605 22 1 9 2 545 64 1 1024 0 15960 0 117 24 309 1490 1069 94 51 545 0 
12 5157 5498 110 57 4948 37 503 1848 435 3066 372 3 1 3 1114 7 3431 1614 15 1 10 1 557 65 1 1049 0 16023 0 122 22 299 1524 1058 101 67 546 1 
13 5199 5627 107 51 4923 26 507 1846 410 3063 343 7 4 5 1099 7 3458 1677 15 1 10 3 496 67 1 1013 0 15970 0 114 15 261 1518 1099 84 53 604 0 
14 5294 5644 80 51 4986 21 519 1827 406 3054 403 8 1 4 1109 6 3391 1581 17 1 16 1 506 76 1 1022 1 15941 0 108 11 304 1496 1037 93 54 612 0 
15 5257 5541 95 60 4879 31 507 1815 422 3062 374 6 4 8 1068 6 3483 1599 19 0 11 1 539 64 1 1089 1 15979 0 114 15 267 1531 1094 84 48 593 0 
16 5260 5437 118 54 4907 29 532 1822 412 3051 396 3 5 5 1117 6 3458 1607 16 0 9 1 502 69 0 1114 1 16070 0 111 16 282 1495 1072 76 64 580 0 
17 5211 5601 107 44 4846 26 524 1809 413 3108 397 3 4 6 1077 6 3350 1626 16 1 12 0 538 69 1 1011 1 16001 0 130 14 318 1553 1081 98 68 592 0 
18 5293 5602 95 54 4838 34 521 1774 408 3062 365 9 1 1 1097 4 3503 1583 17 0 12 2 522 79 0 1059 0 15973 0 125 19 283 1515 1103 87 63 569 0 
19 5185 5564 121 55 4945 36 526 1835 418 3002 405 8 1 5 1110 4 3399 1640 18 0 11 2 504 64 0 1120 0 15902 0 129 20 285 1548 1091 82 57 603 0 
20 5278 5627 109 59 4885 32 576 1804 401 3144 359 3 1 2 1041 6 3453 1618 17 0 12 2 506 59 2 1061 0 15837 0 117 16 271 1556 1035 92 74 602 0 
21 5234 5616 109 49 4839 33 533 1872 425 3038 390 1 2 6 1094 3 3416 1619 18 1 10 3 487 66 0 1079 0 15975 0 115 17 265 1488 1100 89 65 614 1 
22 5229 5612 110 58 5012 31 538 1848 436 3122 375 1 1 5 1112 6 3352 1650 14 0 14 1 512 71 0 1032 1 15793 1 135 19 282 1497 1091 88 60 572 1 
23 5167 5533 109 59 4885 25 489 1824 402 3037 373 4 2 4 1134 2 3483 1650 14 1 14 3 516 71 1 1031 0 16093 1 124 18 300 1552 1068 94 55 571 0 
24 5214 5598 109 56 4890 35 539 1798 394 3001 372 3 4 3 1061 4 3453 1682 10 1 16 4 500 59 1 1033 1 16030 0 132 19 268 1533 1134 84 65 578 0 
25 5277 5567 112 60 4859 36 535 1842 392 3004 362 0 1 4 1129 6 3448 1650 20 0 15 2 544 73 0 1014 0 15982 0 131 20 272 1466 1109 94 57 585 0 
