#SampleID	sample_name	crop_system	sample_block	agg_frac	micro	check_whole	agrochem_addition	cur_land_use	cur_vegetation	drainage_class	local_class	ph	ph_meth	sieving	soil_type	texture	tot_n	water_content_soil	total_c	misc1	MBN1	MBN2	ExtC1	ExtC2	ExtC3	ECN1	bulk_density	bray_extract	amf_col	ap_act	bg_act	bx_act	cb_act	nag	sum_c	mbc	mbc2	root_biomass	amf_col_biomass	mbc:mbn	mwd	prop	n20	CH4_gas2011_umol_m2_h	N20_gas2012_umol_m2_h	CO2_gas2011_umol_m2_s	CO2_gas2012_umol_m2_h	Description
PF_LM_H03	PF15-LM-July2012	prairieFert	1	LM	nonmicro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.54	"pH meter, 1:2 soil:H2O"	8-2 mm	Webster silty clay loam	"29.3, 38.9, 31.9"	0.111252464	0.168202765	5.950910091	env_package: soil	71.46905037	6.951551964	28.23676029	2.746493838	5.833480668	0.567402866	0.97266606	11	0.908653846	1843.50845	441.9862819	50.89918939	15.66622407	57.4716635	508.5516954	651.480607	63.36730752	2.1512	1.9547	9.115562662	3449.13475	0.610348492	0.037547258	-0.737997831	3.196742442	7.11	.	mge94481
PF_LM_H16	PF23-LM-July2012	prairieFert	2	LM	nonmicro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	somewhat poorly drained	Hapludoll + Endoaquoll	7.19	"pH meter, 1:2 soil:H2O"	8-2 mm	Nicollet loam + Webster silty clay loam	"34.0, 39.9, 26.1"	0.090629965	0.137656428	4.532594681	env_package: soil	63.12994266	7.257478684	19.94701284	2.293127705	3.89499573	0.44777244	1.14960958	8	0.911852759	1886.226894	274.6791559	28.43597933	7.952264269	55.4798289	311.0673995	593.4490526	68.22347159	3.7349	3.4057	9.400437061	3348.918636	0.5866092	0.038867646	-0.194338232	0.149395917	3.84	4.03	mge94500
PF_LM_H08	PF32-LM-July2012	prairieFert	3	LM	nonmicro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.69	"pH meter, 1:2 soil:H2O"	8-2 mm	Webster silty clay loam	"49.8, 28.3, 21.9"	0.101753525	0.141573034	4.921542645	env_package: soil	45.91926576	5.427176611	15.59600387	1.843284426	4.663153903	0.551135986	1.181895338	8	0.938864629	2987.183772	577.9057772	65.12881268	42.57551891	93.54945	685.6101088	387.8995991	45.84567277	2.8244	2.6517	8.447425992	3396.03585	0.596414483	0.012892018	-0.206272289	0.028341338	4.97	.	mge94517
PF_LM_H14	PF41-LM-July2012	prairieFert	4	LM	nonmicro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.03	"pH meter, 1:2 soil:H2O"	8-2 mm	Webster silty clay loam	"33.6, 38.4, 28.0"	0.110168301	0.153583618	5.267864704	env_package: soil	86.65835063	9.45136994	30.50732889	3.327273704	5.610335035	0.611889697	1.090647338	6	0.876740315	1454.003352	259.1762095	32.92250586	10.23361683	58.67204241	302.3323322	784.9918186	85.6149237	2.8214	2.4737	9.058467105	3384.879142	0.594497837	0.14518456	-0.753089377	0.054535545	7.6	1.7	mge94535
PF_MI_H12	PF15-Micro-July2012	prairieFert	1	micro	micro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.54	"pH meter, 1:2 soil:H2O"	2-1 mm	Webster silty clay loam	"29.3, 38.9, 31.9"	0.107183941	0.101694915	4.702953815	env_package: soil	71.46905037	6.951551964	28.23676029	2.746493838	5.833480668	0.567402866	0.97266606	11	0.908653846	1457.171086	562.7394014	87.97202002	34.84867799	48.62297219	685.5600994	651.480607	63.36730752	2.1512	1.9547	9.115562662	3449.13475	0.015771346	0.037547258	-0.737997831	3.196742442	7.11	.	mge94485
PF_MI_H06	PF23-Micro-July2012	prairieFert	2	micro	micro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	somewhat poorly drained	Hapludoll + Endoaquoll	7.19	"pH meter, 1:2 soil:H2O"	2-1 mm	Nicollet loam + Webster silty clay loam	"34.0, 39.9, 26.1"	0.075802498	0.094257855	3.511238098	env_package: soil	63.12994266	7.257478684	19.94701284	2.293127705	3.89499573	0.44777244	1.14960958	8	0.911852759	2099.462583	550.0290831	45.92699238	24.21888067	77.25474084	620.1749561	593.4490526	68.22347159	3.7349	3.4057	9.400437061	3348.918636	0.023132687	0.038867646	-0.194338232	0.149395917	3.84	4.03	mge94503
PF_MI_H01	PF32-Micro-July2012	prairieFert	3	micro	micro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.69	"pH meter, 1:2 soil:H2O"	2-1 mm	Webster silty clay loam	"49.8, 28.3, 21.9"	0.096176855	0.100766703	4.032095432	env_package: soil	45.91926576	5.427176611	15.59600387	1.843284426	4.663153903	0.551135986	1.181895338	8	0.938864629	1609.960259	652.7710328	72.9288134	21.95521421	50.82974114	747.6550604	387.8995991	45.84567277	2.8244	2.6517	8.447425992	3396.03585	0.021500942	0.012892018	-0.206272289	0.028341338	4.97	.	mge94521
PF_MI_H13	PF41-Micro-July2012	prairieFert	4	micro	micro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.03	"pH meter, 1:2 soil:H2O"	2-1 mm	Webster silty clay loam	"33.6, 38.4, 28.0"	0.097152725	0.099891422	4.082702637	env_package: soil	86.65835063	9.45136994	30.50732889	3.327273704	5.610335035	0.611889697	1.090647338	6	0.876740315	938.109261	313.0857923	39.05345205	18.85466475	30.56387884	370.9939091	784.9918186	85.6149237	2.8214	2.4737	9.058467105	3384.879142	0.020180968	0.14518456	-0.753089377	0.054535545	7.6	1.7	mge94539
PF_MM_H20	PF15-MM-July2012	prairieFert	1	MM	nonmicro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	poorly drained	Endoaquoll	7.54	"pH meter, 1:2 soil:H2O"	1-0.25 mm	Webster silty clay loam	"29.3, 38.9, 31.9"	0.11640238	0.170361727	6.208688736	env_package: soil	71.46905037	6.951551964	28.23676029	2.746493838	5.833480668	0.567402866	0.97266606	11	0.908653846	1192.949558	317.0939955	60.4533088	24.41710872	48.54313976	401.9644131	651.480607	63.36730752	2.1512	1.9547	9.115562662	3449.13475	0.184852307	0.037547258	-0.737997831	3.196742442	7.11	.	mge94489
PF_MM_H17	PF23-MM-July2012	prairieFert	2	MM	nonmicro	nonwhole	75	fertilized harvested grassland	2.C.1.Nb.M054.G333	somewhat poorly drained	Hapludoll + Endoaquoll	7.19	"pH meter, 1:2 soil:H2O"	1-0.25 mm	Nicollet loam + Webster silty clay loam	"34.0, 39.9, 26.1"	0.08538048	0.13800905	4.057810783	env_package: soil	63.12994266	7.257478684	19.94701284	2.293127705	3.89499573	0.44777244	1.14960958	8	0.911852759	2302.913006	489.7705206	83.67254437	17.55979605	86.50641601	591.002861	593.4490526	68.22347159	3.7349	3.4057	9.400437061	3348.918636	0.193222545	0.038867646	-0.194338232	0.149395917	3.84	4.03	mge94507
