	CC_MI_H30	CC_MI_H39	PF_LM_H03	PF_LM_H08	PF_LM_H14	PF_LM_H16	PF_MI_H01	PF_MI_H06	PF_MI_H12	PF_MI_H13	PF_MM_H17	PF_MM_H19	PF_MM_H20	PF_SM_H02	PF_SM_H10	PF_SM_H11	PF_WS_H04	PF_WS_H07	PF_WS_H09	PF_WS_H15	UP_MI_H41	UP_MI_H43	UP_MI_H57	UP_MI_H59
aggregates-combined-assembly1_3699071_1_237_- 	0.00480769230769 	0.00977198697068 	0.0 	0.00909090909091 	0.00289226319595 	0.00328947368421 	0.00613496932515 	0.00836820083682 	0.0 	0.0 	0.0222222222222 	0.0330578512397 	0.0 	0.00806451612903 	0.0 	0.00396825396825 	0.00684931506849 	0.0114503816794 	0.0127551020408 	0.0326086956522 	0.0 	0.0 	0.0104790419162 	0.0 
aggregates-combined-assembly1_4211554_1_374_+ 	0.00961538461538 	0.00977198697068 	0.0 	0.0181818181818 	0.0130151843818 	0.00986842105263 	0.0368098159509 	0.0125523012552 	0.0284360189573 	0.0 	0.0 	0.00826446280992 	0.0 	0.00806451612903 	0.0157480314961 	0.015873015873 	0.00684931506849 	0.0152671755725 	0.015306122449 	0.0271739130435 	0.0209059233449 	0.0 	0.00748502994012 	0.020942408377 
aggregates-combined-assembly1_4340188_1_244_+ 	0.00961538461538 	0.0 	0.00591715976331 	0.0151515151515 	0.0216919739696 	0.0 	0.021472392638 	0.0125523012552 	0.0189573459716 	0.0117647058824 	0.0111111111111 	0.0165289256198 	0.0220994475138 	0.00806451612903 	0.0157480314961 	0.015873015873 	0.0159817351598 	0.0229007633588 	0.0127551020408 	0.0760869565217 	0.0278745644599 	0.0149253731343 	0.0 	0.0279232111693 
aggregates-combined-assembly1_4342818_1_461_+ 	0.0 	0.00325732899023 	0.00591715976331 	0.0030303030303 	0.00506146059291 	0.0 	0.00613496932515 	0.00836820083682 	0.00947867298578 	0.0 	0.0 	0.00826446280992 	0.0276243093923 	0.0 	0.0314960629921 	0.00793650793651 	0.00799086757991 	0.00954198473282 	0.015306122449 	0.0380434782609 	0.0278745644599 	0.0149253731343 	0.0 	0.0174520069808 
aggregates-combined-assembly1_4414227_113_438_- 	0.0288461538462 	0.00651465798046 	0.0 	0.030303030303 	0.0137382501808 	0.0230263157895 	0.00613496932515 	0.00836820083682 	0.0142180094787 	0.0 	0.0 	0.0165289256198 	0.0220994475138 	0.00806451612903 	0.0314960629921 	0.00793650793651 	0.00570776255708 	0.0267175572519 	0.015306122449 	0.0271739130435 	0.0 	0.0 	0.0059880239521 	0.00698080279232 
aggregates-combined-assembly1_4448636_1_326_- 	0.0192307692308 	0.0325732899023 	0.00591715976331 	0.0121212121212 	0.0115690527838 	0.0263157894737 	0.00306748466258 	0.00836820083682 	0.00947867298578 	0.0235294117647 	0.0222222222222 	0.0247933884298 	0.0276243093923 	0.00806451612903 	0.0157480314961 	0.0119047619048 	0.00799086757991 	0.0209923664122 	0.0204081632653 	0.0271739130435 	0.01393728223 	0.0 	0.00299401197605 	0.0104712041885 
aggregates-combined-assembly1_4483067_1_548_- 	0.0240384615385 	0.0130293159609 	0.0 	0.00909090909091 	0.00795372378886 	0.0 	0.0 	0.0167364016736 	0.00947867298578 	0.0 	0.0222222222222 	0.0 	0.0 	0.0241935483871 	0.0314960629921 	0.0 	0.00913242009132 	0.0190839694656 	0.015306122449 	0.0489130434783 	0.0 	0.044776119403 	0.0 	0.0314136125654 
aggregates-combined-assembly1_4496891_1_671_+ 	0.00961538461538 	0.00651465798046 	0.0 	0.00606060606061 	0.00650759219089 	0.00657894736842 	0.00920245398773 	0.0 	0.00947867298578 	0.0 	0.0 	0.0 	0.0662983425414 	0.00806451612903 	0.0236220472441 	0.0 	0.00570776255708 	0.030534351145 	0.0204081632653 	0.0326086956522 	0.0 	0.0 	0.00299401197605 	0.0104712041885 
aggregates-combined-assembly1_4513860_1_371_+ 	0.0288461538462 	0.00651465798046 	0.0355029585799 	0.0151515151515 	0.0122921185828 	0.0164473684211 	0.00613496932515 	0.00836820083682 	0.0189573459716 	0.0235294117647 	0.0 	0.0330578512397 	0.0 	0.00806451612903 	0.0157480314961 	0.0119047619048 	0.00799086757991 	0.0152671755725 	0.015306122449 	0.0271739130435 	0.01393728223 	0.0 	0.0059880239521 	0.0104712041885 
aggregates-combined-assembly1_4561665_1_550_+ 	0.00961538461538 	0.0228013029316 	0.0473372781065 	0.0212121212121 	0.0122921185828 	0.00657894736842 	0.0 	0.00836820083682 	0.0142180094787 	0.0 	0.0222222222222 	0.0330578512397 	0.0220994475138 	0.00806451612903 	0.0157480314961 	0.0119047619048 	0.0159817351598 	0.0248091603053 	0.0127551020408 	0.0489130434783 	0.00696864111498 	0.0373134328358 	0.0 	0.0244328097731 
