Supplementary Table 2.  Description of all core sequences.						
						
Core metagenome ID	Functional Description	Taxonomy	CAZy class	Acc. No.	Average Abundance (per recA)	Std Error
aggregates-combined-assembly1_5674059_1_405_-	putative esterase	Bacteria;Thermotogae;Thermotogales	CE1	ABS59950.1	0.069139824	0.026412923
aggregates-combined-assembly1_5640190_1_376_-	probable cellulase	Bacteria;Proteobacteria;Gammaproteobacteria	CBM3	ABC29271.1	0.059692168	0.019211489
aggregates-combined-assembly1_5792039_1_419_+	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.055625713	0.014718458
aggregates-combined-assembly1_5613944_1_399_-	conserved hypothetical protein	Bacteria;Acidobacteria;Solibacteres	none	ABJ83585.1	0.055195724	0.018560459
aggregates-combined-assembly1_5350184_1_471_-	putative bifunctional protein: peroxiredoxin/chitinase	Bacteria;Firmicutes;Clostridia	GH18	CAJ68298.1	0.054238251	0.005587676
aggregates-combined-assembly1_5350244_1_978_+	trehalose synthase	Bacteria;Actinobacteria;Actinobacteridae	GH13	ABP44059.1	0.053229586	0.004324452
aggregates-combined-assembly1_5628198_1_404_+	"glycosyl transferase, family 2"	Bacteria;Firmicutes;Clostridia	GT2	ABN54292.1	0.051763922	0.018864722
aggregates-combined-assembly1_5576267_381_926_-	putative beta-N-acetylhexosaminidase	Bacteria;Actinobacteria;Actinobacteridae	GH3	ABM06825.1	0.05046895	0.026397482
aggregates-combined-assembly1_5559460_1_412_+	cyclic beta 1-2 glucan synthetase	Bacteria;Proteobacteria;Betaproteobacteria	GT84	AAZ97257.1	0.050036409	0.009303868
aggregates-combined-assembly1_5598860_117_971_+	hypothetical protein CC_1226	Bacteria;Proteobacteria;Alphaproteobacteria	CE10	AAK23208.1	0.049831627	0.003946759
aggregates-combined-assembly1_5492899_1_371_-	glycogen synthase-related protein	Bacteria;Bacteroidetes;Sphingobacteria	GT5	ABG61068.1	0.049543347	0.016975815
aggregates-combined-assembly1_5389583_1_1052_+	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.04855592	0.011599003
aggregates-combined-assembly1_5601326_1_436_-	"penicillin-binding protein, 1A family"	Bacteria;Firmicutes;Clostridia	GT51	ABY91560.1	0.048401886	0.018368979
aggregates-combined-assembly1_5162503_1_603_+	glycosyl transferase	Bacteria;Chloroflexi;Dehalococcoidetes	CE4	CAI83173.1	0.047916432	0.011272689
aggregates-combined-assembly1_5162503_648_969_+	polysaccharide deacetylase family protein	Bacteria;Firmicutes;Bacillales	CE4	ACA40307.1	0.047916432	0.011272689
aggregates-combined-assembly1_5548131_1_595_+	TPR domain protein	Bacteria;Proteobacteria;Alphaproteobacteria	GT41	AAK22106.1	0.047723607	0.010575068
aggregates-combined-assembly1_5548071_1_633_+	mannosidase	Bacteria;Actinobacteria;Actinobacteridae	GH2	AAD42775.1	0.047151716	0.017971894
aggregates-combined-assembly1_5510603_1_170_-	Monogalactosyldiacylglycerol synthase	Bacteria;Chloroflexi;Chloroflexales	GT28	ABU58556.1	0.046996683	0.020128554
aggregates-combined-assembly1_5507824_1_519_+	peptidase M23B	Bacteria;Firmicutes;Clostridia	GH23	ABY92024.1	0.046506361	0.008717633
aggregates-combined-assembly1_5561740_81_543_+	Dolichyl-phosphate-mannose-protein mannosyltransferase family	Bacteria;Cyanobacteria;Chroococcales	GT83	ACB00522.1	0.046402101	0.007435348
aggregates-combined-assembly1_5243615_1_1029_+	dipeptidyl aminopeptidase (predicted)	Eukaryota;Fungi;Dikarya	CE10	CAA20138.1	0.046356093	0.018797972
aggregates-combined-assembly1_5587926_242_817_+	putative lipopolysaccharide glycosyltransferase	Bacteria;Proteobacteria;Gammaproteobacteria	GT4	BAE75477.1	0.046162617	0.009017908
aggregates-combined-assembly1_5298670_1_630_-	polysaccharide deacetylase	Bacteria;Proteobacteria;Gammaproteobacteria	CE4	ABI72953.1	0.045351274	0.017920897
aggregates-combined-assembly1_5179904_1_351_+	unnamed protein product	Bacteria;Cyanobacteria;Chroococcales	GT1	CAO86703.1	0.045242321	0.008533111
aggregates-combined-assembly1_5376695_1_686_-	strongly similar to glycogen synthase	Bacteria;Planctomycetes;Planctomycetacia	GT5	CAJ73210.1	0.045164279	0.019839691
aggregates-combined-assembly1_5376695_812_1327_-	4-alpha-glucanotransferase	Bacteria;Firmicutes;Clostridia	GH77	ACA59379.1	0.045164279	0.019839691
aggregates-combined-assembly1_5378643_1_606_+	Beta-phosphoglucomutase hydrolase	Bacteria;Proteobacteria;Gammaproteobacteria	GH65	ABA58247.1	0.044885597	0.006718081
aggregates-combined-assembly1_5164319_1_625_+	Alpha-L-fucosidase	Bacteria;Firmicutes;Clostridia	GH29	ABX43380.1	0.044850428	0.00756429
aggregates-combined-assembly1_5573226_50_775_-	"glycoside hydrolase, family 28"	Bacteria;Acidobacteria;Solibacteres	GH28	ABJ87782.1	0.044712624	0.003932991
aggregates-combined-assembly1_5573226_859_1521_-	"glycoside hydrolase, family 28"	Bacteria;Acidobacteria;Solibacteres	GH28	ABJ87782.1	0.044712624	0.003932991
aggregates-combined-assembly1_5389291_470_669_+	putative N-acetyl-1-D-myo-inosityl-2-amino-2- deoxy-alpha-D-glucopyranoside deacetylase	Bacteria;Actinobacteria;Actinobacteridae	CE14	BAC70849.1	0.044419416	0.015700608
aggregates-combined-assembly1_5350602_1_512_-	conserved hypothetical protein	Bacteria;Planctomycetes;Planctomycetacia	GH13	CAJ73822.1	0.044325136	0.016049136
aggregates-combined-assembly1_5492984_1_388_+	"glycosyl transferase, family 2"	Bacteria;Acidobacteria;Solibacteres	GT2	ABJ83115.1	0.044020602	0.01999392
aggregates-combined-assembly1_5176241_1_625_-	predicted esterase of alpha/beta hydrolase fold	Bacteria;Proteobacteria;Gammaproteobacteria	CE10	AAG10492.1	0.043976942	0.016455715
