Contig	Mean Abundance	SE	Cazy Class	Cazy Family	Best Hit ID	Description	Taxonomy Lineage			
aggregates-combined-assembly1_3699071_1_237_-	aggregates-combined-assembly1_3699071_1_237_-	0.0159158736102225	0.00570660353314549	n.d.	GT2	GT	ABG51896.1	glycosyl transferase, family 2	Bacteria	Cyanobacteria	Oscillatoriales
aggregates-combined-assembly1_4211554_1_374_+	aggregates-combined-assembly1_4211554_1_374_+	0.0161491315333725	0.00417852550009971	n.d.	GH23	GH	NP_771713.1	putative soluble lytic transglycosylase precursor	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4340188_1_244_+	aggregates-combined-assembly1_4340188_1_244_+	0.031931139270275	0.0148699579173055	n.d.	CBM6	CB	ABQ06340.1	Carbohydrate binding family 6	Bacteria	Bacteroidetes	Flavobacteria
aggregates-combined-assembly1_4342818_1_461_+	aggregates-combined-assembly1_4342818_1_461_+	0.0177206132556575	0.00695465385734643	n.d.	GT41	GT	ABI85713.1	Tetratricopeptide TPR_2 repeat protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4414227_113_438_-	aggregates-combined-assembly1_4414227_113_438_-	0.01872633882537	0.00513486684528593	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4448636_1_326_-	aggregates-combined-assembly1_4448636_1_326_-	0.0191413275752275	0.00401960202065972	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4483067_1_548_-	aggregates-combined-assembly1_4483067_1_548_-	0.023108888871055	0.00884250725474713	n.d.	CE1	CE	ABH65280.1	Sequence 18 from patent US 7026465	Unclassified		
aggregates-combined-assembly1_4496891_1_671_+	aggregates-combined-assembly1_4496891_1_671_+	0.022314743154895	0.00614379270062734	n.d.	GH2	GH	ABF43242.1	beta-mannosidase	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_4513860_1_371_+	aggregates-combined-assembly1_4513860_1_371_+	0.0164345196612275	0.00397141665718487	n.d.	GH57	GH	ABF87741.1	glycosyl hydrolase, family 57	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4561665_1_550_+	aggregates-combined-assembly1_4561665_1_550_+	0.02561476024605	0.00817325401488932	n.d.	GT2	GT	AAZ60100.1	Glycosyl transferase, family 2:Glycosyl transferase, group 1	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4574750_1_324_+	aggregates-combined-assembly1_4574750_1_324_+	0.0169383170706	0.00346716365692823	n.d.	GH103	GH	ABD09204.1	Lytic murein transglycosylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4584140_1_373_-	aggregates-combined-assembly1_4584140_1_373_-	0.02036606553475	0.00444276153964765	n.d.	GH102	GH	ABS67293.1	MltA domain protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4595197_1_248_-	aggregates-combined-assembly1_4595197_1_248_-	0.020489531656445	0.00682717308770174	n.d.	GH97	GH	BAE92748.1	alpha-1,3-polybranched dextran hydrogenase	Bacteria	Bacteroidetes	Sphingobacteria
aggregates-combined-assembly1_4623130_1_357_+	aggregates-combined-assembly1_4623130_1_357_+	0.0178968726145225	0.00485051142154666	n.d.	none	none	ACC80455.1	Amylo-alpha-1,6-glucosidase	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_4644555_1_514_-	aggregates-combined-assembly1_4644555_1_514_-	0.025919262266825	0.00578047950318782	n.d.	GT2	GT	ABL00931.1	glycosyl transferase, family 2	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4667640_1_512_+	aggregates-combined-assembly1_4667640_1_512_+	0.019911307400175	0.00493750194770484	n.d.	GT4	GT	ABK61759.1	glycosyltransferase, putative	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_4667871_1_361_+	aggregates-combined-assembly1_4667871_1_361_+	0.0186853032999	0.00516336192166258	n.d.	CE1	CE	ABH65280.1	Sequence 18 from patent US 7026465	Unclassified		
aggregates-combined-assembly1_4678604_1_367_-	aggregates-combined-assembly1_4678604_1_367_-	0.023005231569905	0.0106152603153207	n.d.	GT4	GT	ABB33108.1	Glycosyl transferase, group 1	Bacteria	Proteobacteria	Deltaproteobacteria
