CAZy Family	Hit ID	Description	Taxonomy Lineage		
GT2	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
GT2	ABW16600.1	Hyaluronan synthase	Bacteria	Actinobacteria	Actinobacteridae
GT2	BAG21333.1	conserved hypothetical protein	Bacteria	Actinobacteria	Actinobacteridae
GT2	ABW13558.1	apolipoprotein N-acyltransferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	AAZ56206.1	similar to Glycosyltransferases involved in cell wall biogenesi	Bacteria	Actinobacteria	Actinobacteridae
GT2	AAT83424.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	AAZ56547.1	conserved hypothetical protein	Bacteria	Actinobacteria	Actinobacteridae
GT2	CAM04760.1	HAD-superfamily hydrolase subfamily IIIA	Bacteria	Actinobacteria	Actinobacteridae
GT2	BAG21787.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	ACC40760.1	glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	ABM08202.1	"glycosyl transferase, group 2 family domain protein"	Bacteri	Actinobacteria	Actinobacteridae
GT2	ABG97542.1	possible glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	ABK66067.1	transferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	BAC72346.1	putative glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
GT2	ABN54292.1	"glycosyl transferase, family 2"	Bacteria	Firmicutes	Clostridia
GT2	ABX42017.1	hypothetical protein Cphy_1645	Bacteria	Firmicutes	Clostridia
GT2	BAB07376.1	glycosyltransferase	Bacteria	Firmicutes	Bacillales
GT2	ABC20443.1	"Glycosyl transferase, family 2"	Bacteria	Firmicutes	Clostridia
GT2	AAG01981.1	putative glycosyltransferase	Bacteria	Firmicutes	Lactobacillales
GT2	AAO81912.1	"glycosyl transferase, group 2 family protein"	Bacteria	Firmicutes	Lactobacillales
GT4	CAB75373.1	putative transferase	Bacteria	Actinobacteria	Actinobacteridae
GT4	CAB36593.1	putative transferase	Bacteria	Actinobacteria	Actinobacteridae
GT4	AAT82395.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
GT4	BAC74212.1	putative glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
